item_id,id,date,p10,p50,p75,p90,mean
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:47:00Z,22.72281126234939,32.79776989460217,36.80691331233764,41.34232726793161,31.818490856631062
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:48:00Z,22.776756419195777,33.245387128920896,37.28591629869436,42.22169871135144,32.394424188584956
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:49:00Z,23.63860239562794,34.30204218619507,37.79583453582806,42.096422459177944,33.05101604848016
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:50:00Z,23.564956567834052,34.49113015430682,38.061203857534714,41.84290268223544,33.15121218447539
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:51:00Z,23.5265761252477,33.65587149996196,37.77185778405311,41.96639142103192,32.75899220283332
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:52:00Z,23.729023195208303,33.731103154258555,37.733900926446665,42.69325150330255,33.029419637985534
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:53:00Z,23.54351756162882,33.99575638236813,37.92196204557151,42.306770716358585,33.053815524342205
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:54:00Z,23.186769559822174,34.17775888999281,38.72565881304766,42.51566381664586,33.12078569064242
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:55:00Z,23.61894305010258,34.670198802660494,38.17739399685396,43.23282951677687,33.186517036562364
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:56:00Z,23.860935411537262,34.14053164737055,38.22652975285993,42.681215388811104,33.24341548107202
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:57:00Z,23.524215031698287,34.379853527376625,37.941929363150365,41.686311328873366,32.790030672944816
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:58:00Z,23.1194317518526,34.45562759879216,38.453637303161734,43.097650062890814,33.3784177612242
207. 여의나루역 1번출구 앞,st-73,2021-12-02T01:59:00Z,23.587382096761463,33.56259666786003,38.139290774195175,41.61100583847608,32.66204627253096
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:00:00Z,23.60735622548494,33.892490125876414,38.06676343488487,42.074067873311584,32.939976188892544
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:01:00Z,23.536802696473828,34.20605476046105,38.129531745097886,43.082650926059024,32.978850627237605
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:02:00Z,23.223386247707065,34.111027945816545,38.50698403011012,42.111099901227846,33.16894924490282
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:03:00Z,23.17981297565235,34.121178614947446,38.12065321371142,43.284718083336806,33.103752390109356
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:04:00Z,23.562731663551947,34.38328824080004,38.4433745743099,42.29986380063136,33.514997333148386
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:05:00Z,23.213382157237945,34.35918872557568,38.58731391037044,43.74407998414149,33.27862603395963
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:06:00Z,23.722123917069965,34.65437187871903,38.48145771492622,42.34272733611152,33.51135890087015
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:07:00Z,23.210465263543757,34.66058829553214,38.68717032246747,43.68737612552156,33.31530557226953
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:08:00Z,23.20608140771961,34.73307570944422,38.75982998399111,44.12943301569519,33.36568987597803
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:09:00Z,23.37008596515603,34.8013935900721,39.30371906312131,44.1013719982624,33.79804256188419
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:10:00Z,23.33193490655058,34.89444936956289,39.10148590326689,43.443083609948445,33.6842138711494
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:11:00Z,23.73001850801309,35.377767839622095,39.26617425048141,43.067578865960186,34.12480124515283
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:12:00Z,23.551205867590017,35.60423931237781,39.76661985201061,44.299550696286445,34.64898992674269
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:13:00Z,23.208355971837708,35.54446839054514,39.8136697554125,43.65193330510522,34.37710474971818
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:14:00Z,23.31957115541405,35.55751182313998,39.50293541388123,43.77586915126251,34.56107056345874
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:15:00Z,23.471634779094252,35.46566740899114,39.74825218775659,43.49456589090701,34.07111362404381
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:16:00Z,23.168386202110376,35.82007401876442,39.89859368717616,44.28817503331947,34.317598167501224
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:17:00Z,23.478775246673482,35.7529884312374,40.05984021067129,45.19638353097396,34.78571921035854
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:18:00Z,23.593959199392465,36.3189903798906,40.50842692378837,45.08787575125936,35.41825043773527
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:19:00Z,23.373115475475696,35.990505970889984,40.36842291260719,45.12267390717544,34.93466568591205
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:20:00Z,23.70032179855275,36.22288580873397,40.4589790097611,45.26187967884784,34.89579064443839
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:21:00Z,23.571177161921174,36.491600942360584,40.80885413636033,45.61216987473567,35.68200196681097
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:22:00Z,23.404436098608755,36.74850143486136,41.079466071531215,45.83432578186723,35.384674396981815
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:23:00Z,23.225114371803144,36.81664847075764,40.886623495937364,45.990603567240285,35.90199238123488
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:24:00Z,23.02112944864685,36.84297622294288,41.14157113276442,45.91835275874395,35.617121589275236
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:25:00Z,23.482825430551927,36.6761642036261,41.05544657790508,46.14558078130904,35.758720461541394
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:26:00Z,23.169742297151423,36.96237499770096,41.245323332549354,45.75321097778107,35.563538017814466
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:27:00Z,23.41179453593356,36.83819193795823,41.11867442664875,46.13235070760599,35.64040728801942
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:28:00Z,23.17976658819225,37.05611944574043,41.15898815278817,46.03744805379777,35.862670249613224
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:29:00Z,22.820136888570904,37.10686082355222,41.50959340443786,46.481625514825936,35.94271287446489
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:30:00Z,23.186387680371265,37.60030030714753,41.65945974290576,46.67039268923081,36.47949657625244
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:31:00Z,22.84404366536621,37.398443948183115,41.85433810916589,46.7618686053592,36.427349453219115
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:32:00Z,22.81269192181967,37.95753161493559,42.10487182691213,47.024555947831274,36.60571116895855
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:33:00Z,22.94945962536528,37.82832011127227,42.94756396105003,46.95662323066404,36.864568056527595
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:34:00Z,22.612296112935113,37.34154474712759,41.88857290514678,46.706374499295244,36.4386733550774
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:35:00Z,22.131247414024884,37.32063682234183,42.71556458301187,46.82336375191481,36.592383246214744
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:36:00Z,22.099469009113353,37.13025260809144,42.08429461233679,46.83097679682377,36.182721495068925
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:37:00Z,22.08570674436147,37.23748697749406,42.41272775621039,46.920906270259806,36.28243711946842
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:38:00Z,22.101108363942522,37.89427413110694,42.127743190634725,46.511799720767556,36.604128168222644
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:39:00Z,22.180735550304377,37.81519421087086,41.995888937129195,46.60154336740079,36.71564043655121
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:40:00Z,22.35001841079544,38.00342334918422,42.176074083866666,46.83735663517286,36.73503080574532
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:41:00Z,21.818069319590013,36.71925486897366,42.27391688254833,46.75223096727062,36.056721756380945
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:42:00Z,22.136591814994155,37.629641310015415,42.1814167788701,47.99859288413773,36.57384759126465
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:43:00Z,22.00296204956213,37.320446048401216,42.26659423563294,47.06325657690043,36.415135489798416
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:44:00Z,22.19295898028052,38.13700320160719,42.370840077632366,47.63546203458721,36.86956542542552
207. 여의나루역 1번출구 앞,st-73,2021-12-02T02:45:00Z,21.976209304163618,38.296796564042594,42.622057104940914,47.168427682536844,37.00392459632867
